corner_label,cap_section,temp_c,vbias_v,device_model,w_um,l_um,wfeed_um,status,srf_hz,c_1ghz_f,c_2ghz_f,c_5ghz_f,c_10ghz_f,c_20ghz_f,q_1ghz,q_2ghz,q_5ghz,q_10ghz,q_20ghz
wcs,cap_wcs,-40,0.0,cap_rfcmim,50,50,15,PASS,1.53086e+10,4.15091e-12,4.20839e-12,4.65140e-12,7.14037e-12,-5.18616e-12,1.37381e+02,6.65462e+01,2.15727e+01,5.32281e+00,2.26320e+00
wcs,cap_wcs,-40,1.5,cap_cmim,20,20,,PASS,none,6.63046e-13,6.63046e-13,6.63045e-13,6.63043e-13,6.63032e-13,4.36430e+03,2.18216e+03,8.72861e+02,4.36431e+02,2.18215e+02
wcs,cap_wcs,-40,1.5,cap_cmim,35,35,,PASS,none,2.02638e-12,2.02638e-12,2.02635e-12,2.02628e-12,2.02598e-12,1.42803e+03,7.14017e+02,2.85607e+02,1.42803e+02,7.14016e+01
wcs,cap_wcs,-40,1.5,cap_cmim,50,50,,PASS,none,4.13203e-12,4.13201e-12,4.13183e-12,4.13120e-12,4.12867e-12,7.00316e+02,3.50159e+02,1.40063e+02,7.00317e+01,3.50158e+01
wcs,cap_wcs,-40,1.5,cap_rfcmim,20,20,5,PASS,5.12036e+10,6.63338e-13,6.64212e-13,6.70325e-13,6.92315e-13,7.89182e-13,7.79958e+02,3.86169e+02,1.45039e+02,6.12868e+01,2.15032e+01
wcs,cap_wcs,-40,1.5,cap_rfcmim,35,35,10,PASS,2.52833e+10,2.02993e-12,2.04061e-12,2.11760e-12,2.43068e-12,5.01723e-12,3.00045e+02,1.47085e+02,5.18307e+01,1.82506e+01,2.92419e+00
wcs,cap_wcs,-40,1.5,cap_rfcmim,50,50,15,PASS,1.53086e+10,4.15091e-12,4.20839e-12,4.65140e-12,7.14037e-12,-5.18616e-12,1.37381e+02,6.65462e+01,2.15727e+01,5.32281e+00,2.26320e+00
wcs,cap_wcs,27,0.0,cap_cmim,20,20,,PASS,none,6.63200e-13,6.63200e-13,6.63199e-13,6.63197e-13,6.63186e-13,4.36329e+03,2.18165e+03,8.72659e+02,4.36330e+02,2.18164e+02
wcs,cap_wcs,27,0.0,cap_cmim,35,35,,PASS,none,2.02685e-12,2.02685e-12,2.02683e-12,2.02675e-12,2.02645e-12,1.42770e+03,7.13851e+02,2.85540e+02,1.42770e+02,7.13850e+01
wcs,cap_wcs,27,0.0,cap_cmim,50,50,,PASS,none,4.13299e-12,4.13297e-12,4.13279e-12,4.13216e-12,4.12963e-12,7.00154e+02,3.50077e+02,1.40031e+02,7.00155e+01,3.50077e+01
wcs,cap_wcs,27,0.0,cap_rfcmim,20,20,5,PASS,5.11976e+10,6.63492e-13,6.64366e-13,6.70482e-13,6.92483e-13,7.89400e-13,7.79776e+02,3.86079e+02,1.45005e+02,6.12720e+01,2.14973e+01
wcs,cap_wcs,27,0.0,cap_rfcmim,35,35,10,PASS,2.52803e+10,2.03040e-12,2.04109e-12,2.11811e-12,2.43136e-12,5.01978e-12,2.99975e+02,1.47050e+02,5.18181e+01,1.82455e+01,2.92231e+00
wcs,cap_wcs,27,0.0,cap_rfcmim,50,50,15,PASS,1.53068e+10,4.15188e-12,4.20939e-12,4.65261e-12,7.14314e-12,-5.18495e-12,1.37348e+02,6.65304e+01,2.15670e+01,5.32060e+00,2.26399e+00
wcs,cap_wcs,27,1.5,cap_cmim,20,20,,PASS,none,6.63200e-13,6.63200e-13,6.63199e-13,6.63197e-13,6.63186e-13,4.36329e+03,2.18165e+03,8.72659e+02,4.36330e+02,2.18164e+02
wcs,cap_wcs,27,1.5,cap_cmim,35,35,,PASS,none,2.02685e-12,2.02685e-12,2.02683e-12,2.02675e-12,2.02645e-12,1.42770e+03,7.13851e+02,2.85540e+02,1.42770e+02,7.13850e+01
