f_hz,l_em_h,l_fit_h,q_em,q_fit,re_zse_em,re_zse_fit,im_zse_em,im_zse_fit
8150000000,9.25847e-11,9.26035e-11,8.04617,7.92681,0.589234,0.598228,4.74107,4.74203
8200000000,9.256e-11,9.25752e-11,8.06869,7.94986,0.591036,0.599969,4.76889,4.76967
8250000000,9.25355e-11,9.25473e-11,8.09113,7.97287,0.592834,0.601704,4.7967,4.79731
8300000000,9.25111e-11,9.25195e-11,8.11347,7.99583,0.594628,0.603431,4.8245,4.82493
8350000000,9.2487e-11,9.2492e-11,8.13568,8.01875,0.596421,0.605151,4.85229,4.85255
8400000000,9.24629e-11,9.24647e-11,8.15783,8.04161,0.598208,0.606865,4.88008,4.88017
8450000000,9.2439e-11,9.24376e-11,8.17985,8.06444,0.599993,0.608571,4.90786,4.90778
8500000000,9.24153e-11,9.24107e-11,8.20185,8.08722,0.601771,0.61027,4.93563,4.93539
8550000000,9.23918e-11,9.23841e-11,8.22375,8.10996,0.603544,0.611962,4.9634,4.96299
8600000000,9.23683e-11,9.23577e-11,8.24559,8.13265,0.605313,0.613648,4.99116,4.99058
8650000000,9.23451e-11,9.23315e-11,8.2673,8.1553,0.60708,0.615327,5.01891,5.01817
8700000000,9.2322e-11,9.23055e-11,8.28898,8.17792,0.60884,0.616998,5.04666,5.04576
8750000000,9.2299e-11,9.22797e-11,8.31052,8.20049,0.6106,0.618664,5.0744,5.07334
8800000000,9.22762e-11,9.22542e-11,8.33204,8.22302,0.612352,0.620322,5.10214,5.10092
8850000000,9.22536e-11,9.22288e-11,8.35349,8.24551,0.614099,0.621974,5.12987,5.12849
8900000000,9.22311e-11,9.22037e-11,8.37481,8.26796,0.615846,0.62362,5.15759,5.15606
8950000000,9.22087e-11,9.21788e-11,8.39613,8.29038,0.617584,0.625258,5.18531,5.18363
9000000000,9.21865e-11,9.21541e-11,8.41734,8.31276,0.619319,0.626891,5.21302,5.21119
9050000000,9.21644e-11,9.21296e-11,8.43853,8.3351,0.621048,0.628517,5.24073,5.23875
9100000000,9.21425e-11,9.21053e-11,8.45962,8.3574,0.622774,0.630137,5.26843,5.2663
9150000000,9.21207e-11,9.20812e-11,8.48067,8.37966,0.624494,0.63175,5.29612,5.29385
9200000000,9.20991e-11,9.20573e-11,8.50162,8.40189,0.626212,0.633357,5.32381,5.3214
9250000000,9.20776e-11,9.20336e-11,8.52257,8.42409,0.627921,0.634958,5.3515,5.34894
9300000000,9.20562e-11,9.20101e-11,8.54345,8.44625,0.629626,0.636553,5.37918,5.37648
9350000000,9.2035e-11,9.19868e-11,8.5642,8.46837,0.631332,0.638142,5.40685,5.40402
9400000000,9.20139e-11,9.19637e-11,8.58498,8.49046,0.633026,0.639724,5.43452,5.43155
9450000000,9.19929e-11,9.19408e-11,8.60566,8.51252,0.634719,0.641301,5.46218,5.45909
9500000000,9.19721e-11,9.19181e-11,8.62634,8.53454,0.636404,0.642872,5.48984,5.48661
9550000000,9.19514e-11,9.18956e-11,8.64692,8.55652,0.638087,0.644437,5.51749,5.51414
9600000000,9.19309e-11,9.18732e-11,8.66747,8.57848,0.639765,0.645996,5.54514,5.54166
9650000000,9.19105e-11,9.18511e-11,8.68798,8.6004,0.641436,0.64755,5.57278,5.56918
9700000000,9.18902e-11,9.18292e-11,8.70843,8.62229,0.643103,0.649097,5.60042,5.5967
9750000000,9.18701e-11,9.18074e-11,8.72882,8.64414,0.644768,0.650639,5.62806,5.62422
9800000000,9.18501e-11,9.17858e-11,8.7492,8.66596,0.646423,0.652176,5.65569,5.65173
9850000000,9.18302e-11,9.17644e-11,8.76952,8.68775,0.648076,0.653707,5.68331,5.67924
9900000000,9.18104e-11,9.17432e-11,8.78978,8.70951,0.649724,0.655232,5.71093,5.70675
9950000000,9.17908e-11,9.17222e-11,8.81004,8.73124,0.651365,0.656752,5.73855,5.73426
1e+10,9.17713e-11,9.17013e-11,8.83024,8.75293,0.653002,0.658267,5.76616,5.76176
1.005e+10,9.1752e-11,9.16807e-11,8.85041,8.77459,0.654633,0.659776,5.79377,5.78927
1.01e+10,9.17328e-11,9.16602e-11,8.87049,8.79623,0.656263,0.66128,5.82138,5.81677
1.015e+10,9.17137e-11,9.16398e-11,8.89058,8.81783,0.657885,0.662779,5.84898,5.84427
1.02e+10,9.16947e-11,9.16197e-11,8.91064,8.83939,0.659501,0.664273,5.87658,5.87177
1.025e+10,9.16759e-11,9.15997e-11,8.93064,8.86093,0.661114,0.665761,5.90417,5.89926
1.03e+10,9.16572e-11,9.15799e-11,8.95059,8.88244,0.662723,0.667245,5.93176,5.92676
1.035e+10,9.16386e-11,9.15603e-11,8.97055,8.90391,0.664323,0.668723,5.95934,5.95425
1.04e+10,9.16201e-11,9.15408e-11,8.99046,8.92536,0.66592,0.670197,5.98693,5.98175
1.045e+10,9.16018e-11,9.15215e-11,9.01031,8.94677,0.667514,0.671665,6.01451,6.00924
1.05e+10,9.15836e-11,9.15024e-11,9.03015,8.96816,0.669101,0.673129,6.04208,6.03673
1.055e+10,9.15655e-11,9.14834e-11,9.04993,8.98951,0.670685,0.674588,6.06966,6.06422
1.06e+10,9.15475e-11,9.14646e-11,9.06971,9.01083,0.672263,0.676042,6.09723,6.0917
1.065e+10,9.15297e-11,9.1446e-11,9.08946,9.03213,0.673834,0.677492,6.12479,6.11919
1.07e+10,9.15119e-11,9.14275e-11,9.10917,9.05339,0.675402,0.678936,6.15236,6.14668
1.075e+10,9.14944e-11,9.14091e-11,9.12884,9.07462,0.676966,0.680377,6.17992,6.17416
1.08e+10,9.14769e-11,9.1391e-11,9.14847,9.09583,0.678526,0.681812,6.20747,6.20165
1.085e+10,9.14595e-11,9.1373e-11,9.16805,9.117,0.680082,0.683243,6.23503,6.22913
1.09e+10,9.14423e-11,9.13551e-11,9.18767,9.13814,0.681629,0.68467,6.26258,6.25661
