 frequency       c_cmim_20u      q_cmim_20u      c_cmim_35u      q_cmim_35u      c_cmim_50u      q_cmim_50u      c_rfcmim_20u    q_rfcmim_20u    c_rfcmim_35u    q_rfcmim_35u    c_rfcmim_50u    q_rfcmim_50u    l_ref           q_ref          
 1.05936911e+09  5.43073813e-13  5.02980584e+03  1.65896403e-12  1.64654269e+03  3.38220919e-12  8.07623597e+02  5.43294229e-13  8.98608518e+02  1.66163533e-12  3.45797868e+02  3.39642738e-12  1.58373604e+02  1.00404487e-09  3.31202975e+00 
 1.10954846e+09  5.43073813e-13  4.80233281e+03  1.65896397e-12  1.57207778e+03  3.38220868e-12  7.71098810e+02  5.43315504e-13  8.57667713e+02  1.66189451e-12  3.29931299e+02  3.39781079e-12  1.51049855e+02  1.00447803e-09  3.46741361e+00 
 1.16210465e+09  5.43073812e-13  4.58514729e+03  1.65896391e-12  1.50098054e+03  3.38220813e-12  7.36225857e+02  5.43338842e-13  8.18564588e+02  1.66217887e-12  3.14771910e+02  3.39932941e-12  1.44050002e+02  1.00495362e-09  3.62993450e+00 
 1.21715029e+09  5.43073812e-13  4.37778395e+03  1.65896384e-12  1.43309868e+03  3.38220753e-12  7.02930034e+02  5.43364442e-13  7.81215437e+02  1.66249087e-12  3.00287288e+02  3.40099657e-12  1.37359095e+02  1.00547586e-09  3.79989726e+00 
 1.27480328e+09  5.43073810e-13  4.17979863e+03  1.65896376e-12  1.36828677e+03  3.38220687e-12  6.71140015e+02  5.43392523e-13  7.45540319e+02  1.66283321e-12  2.86446471e+02  3.40282694e-12  1.30962855e+02  1.00604936e-09  3.97761623e+00 
 1.33518714e+09  5.43073809e-13  3.99076720e+03  1.65896368e-12  1.30640599e+03  3.38220614e-12  6.40787700e+02  5.43423326e-13  7.11462889e+02  1.66320885e-12  2.73219888e+02  3.40483665e-12  1.24847640e+02  1.00667923e-09  4.16341492e+00 
 1.39843121e+09  5.43073807e-13  3.81028472e+03  1.65896358e-12  1.24732376e+03  3.38220534e-12  6.11808068e+02  5.43457115e-13  6.78910233e+02  1.66362103e-12  2.60579293e+02  3.40704348e-12  1.19000419e+02  1.00737110e-09  4.35762568e+00 
 1.46467097e+09  5.43073804e-13  3.63796454e+03  1.65896348e-12  1.19091353e+03  3.38220447e-12  5.84139041e+02  5.43494179e-13  6.47812721e+02  1.66407332e-12  2.48497710e+02  3.40946700e-12  1.13408744e+02  1.00813115e-09  4.56058905e+00 
 1.53404832e+09  5.43073801e-13  3.47343756e+03  1.65896337e-12  1.13705445e+03  3.38220351e-12  5.57721346e+02  5.43534835e-13  6.18103849e+02  1.66456964e-12  2.36949372e+02  3.41212877e-12  1.08060728e+02  1.00896624e-09  4.77265312e+00 
 1.60671189e+09  5.43073798e-13  3.31635131e+03  1.65896325e-12  1.08563115e+03  3.38220246e-12  5.32498391e+02  5.43579431e-13  5.89720108e+02  1.66511430e-12  2.25909673e+02  3.41505256e-12  1.02945015e+02  1.00988390e-09  4.99417253e+00 
