corner_label,mc_rsh,mc_rsub,temp_c,geometry,w_um,s_um,d_um,nr_r,status,srf_hz,l_1ghz_h,l_5ghz_h,l_10ghz_h,q_1ghz,q_5ghz,q_10ghz,qlow_1ghz,qlow_5ghz,qlow_10ghz
rhi_slo,1.3182,0.75,125,p1,8.22,3.29,47.65,1,PASS,2.39811e+11,1.03766e-10,1.03719e-10,1.03588e-10,1.42698e+00,6.80426e+00,1.19895e+01,9.964973e-01,3.401187e+00,5.322991e+00
rhi_slo,1.3182,0.75,125,p13,6.10,3.29,110.11,5,PASS,1.42301e+10,5.44870e-09,6.18593e-09,1.00984e-08,3.08362e+00,7.59312e+00,3.60925e+00,2.315439e+00,5.627186e+00,3.366125e+00
rhi_slo,1.3182,0.75,125,p11,8.22,3.74,141.975,4,PASS,1.40429e+10,4.60586e-09,5.25211e-09,8.76786e-09,3.85633e+00,8.48476e+00,3.65913e+00,2.855599e+00,6.387694e+00,3.451228e+00
rhi_shi,1.3182,1.25,-40,p1,8.22,3.29,47.65,1,PASS,2.40397e+11,1.03758e-10,1.03499e-10,1.02902e-10,2.61485e+00,1.13380e+01,1.70451e+01,1.631849e+00,5.064698e+00,7.575646e+00
rhi_shi,1.3182,1.25,-40,p13,6.10,3.29,110.11,5,PASS,1.43288e+10,5.44793e-09,6.16566e-09,1.03095e-08,5.61790e+00,1.26665e+01,5.91528e+00,3.847958e+00,8.836268e+00,5.472742e+00
rhi_shi,1.3182,1.25,-40,p11,8.22,3.74,141.975,4,PASS,1.41343e+10,4.60305e-09,5.23027e-09,8.94890e-09,7.00334e+00,1.40727e+01,6.01007e+00,4.717462e+00,1.001365e+01,5.629544e+00
rhi_shi,1.3182,1.25,27,p1,8.22,3.29,47.65,1,PASS,2.40127e+11,1.03763e-10,1.03634e-10,1.03304e-10,1.95495e+00,8.98138e+00,1.47002e+01,1.291760e+00,4.202871e+00,6.425189e+00
rhi_shi,1.3182,1.25,27,p13,6.10,3.29,110.11,5,PASS,1.43134e+10,5.44475e-09,6.16274e-09,1.03094e-08,4.21678e+00,1.09476e+01,5.59921e+00,3.025316e+00,7.629491e+00,5.128502e+00
rhi_shi,1.3182,1.25,27,p11,8.22,3.74,141.975,4,PASS,1.41217e+10,4.60098e-09,5.22848e-09,8.95008e-09,5.26580e+00,1.23583e+01,5.74411e+00,3.719974e+00,8.745098e+00,5.331162e+00
rhi_shi,1.3182,1.25,125,p1,8.22,3.29,47.65,1,PASS,2.39818e+11,1.03766e-10,1.03717e-10,1.03585e-10,1.42698e+00,6.80673e+00,1.20078e+01,9.964988e-01,3.401770e+00,5.326532e+00
rhi_shi,1.3182,1.25,125,p13,6.10,3.29,110.11,5,PASS,1.43002e+10,5.43945e-09,6.15488e-09,1.02840e-08,3.08708e+00,9.07575e+00,5.17139e+00,2.316413e+00,6.392813e+00,4.694463e+00
rhi_shi,1.3182,1.25,125,p11,8.22,3.74,141.975,4,PASS,1.41112e+10,4.59757e-09,5.22337e-09,8.93307e-09,3.86073e+00,1.04246e+01,5.37500e+00,2.856674e+00,7.416640e+00,4.945653e+00
