f_hz,l_se_raw_h,q_se_raw,l_se_h,q_se,re_zse_ohm,im_zse_ohm,l_diff_h,q_diff,re_zdiff_ohm,im_zdiff_ohm
7600000000,2.78532e-08,1.39784,2.78474e-08,1.39789,951.275,1329.77,2.33095e-08,2.90367,383.336,1113.08
7650000000,2.86113e-08,1.24947,2.86057e-08,1.24953,1100.39,1374.97,2.4417e-08,2.72509,430.678,1173.64
7700000000,2.9081e-08,1.10091,2.90758e-08,1.10098,1277.68,1406.7,2.56167e-08,2.54578,486.825,1239.35
7750000000,2.90702e-08,0.952213,2.90657e-08,0.952286,1486.26,1415.35,2.69127e-08,2.36583,553.93,1310.5
7800000000,2.83118e-08,0.80341,2.83083e-08,0.803488,1726.67,1387.36,2.83048e-08,2.18532,634.774,1387.18
7850000000,2.64659e-08,0.654544,2.64637e-08,0.654624,1993.92,1305.27,2.97852e-08,2.00433,732.963,1469.1
7900000000,2.3165e-08,0.505654,2.31645e-08,0.505735,2273.56,1149.82,3.13325e-08,1.82293,853.161,1555.25
7950000000,1.81318e-08,0.356776,1.81331e-08,0.356856,2538.2,905.774,3.29003e-08,1.6412,1001.35,1643.42
8000000000,1.13721e-08,0.207947,1.13749e-08,0.208024,2748.56,571.767,3.44011e-08,1.45921,1185.01,1729.19
8050000000,3.35136e-09,0.059198,3.3552e-09,0.0592706,2863.22,169.705,3.5677e-08,1.27702,1413.08,1804.53
8100000000,-5.01912e-09,-0.0894381,-5.01517e-09,-0.0893718,2855.95,-255.241,3.64588e-08,1.09469,1695.03,1855.53
8150000000,-1.26827e-08,-0.237932,-1.26793e-08,-0.237874,2729.52,-649.283,3.63114e-08,0.912283,2038.22,1859.43
8200000000,-1.88466e-08,-0.386255,-1.88443e-08,-0.386207,2513.93,-970.899,3.4589e-08,0.729849,2441.73,1782.1
8250000000,-2.3204e-08,-0.534382,-2.32028e-08,-0.534345,2250.88,-1202.75,3.04699e-08,0.547442,2885.14,1579.45
8300000000,-2.58708e-08,-0.682285,-2.58705e-08,-0.682262,1977.48,-1349.16,2.32077e-08,0.365108,3314.89,1210.29
8350000000,-2.71838e-08,-0.829944,-2.71842e-08,-0.829937,1718.45,-1426.21,1.26944e-08,0.182891,3641.54,666.007
8400000000,-2.7522e-08,-0.977336,-2.75229e-08,-0.977345,1486.3,-1452.62,5.9503e-11,0.000833128,3769.52,3.1405
8450000000,-2.7213e-08,-1.12444,-2.72142e-08,-1.12447,1284.95,-1444.88,-1.24641e-08,-0.181028,3655.52,-661.754
8500000000,-2.65039e-08,-1.27123,-2.65053e-08,-1.27128,1113.5,-1415.57,-2.26889e-08,-0.362659,3341.29,-1211.75
8550000000,-2.55673e-08,-1.4177,-2.55688e-08,-1.41777,968.833,-1373.59,-2.95827e-08,-0.544024,2921.23,-1589.22
8600000000,-2.45177e-08,-1.56382,-2.45193e-08,-1.56392,847.171,-1324.91,-3.33371e-08,-0.725093,2484.34,-1801.38
8650000000,-2.34282e-08,-1.70958,-2.34299e-08,-1.70971,744.807,-1273.4,-3.47418e-08,-0.90584,2084.48,-1888.2
8700000000,-2.23439e-08,-1.85497,-2.23457e-08,-1.85512,658.444,-1221.5,-3.46297e-08,-1.08624,1742.7,-1892.99
8750000000,-2.12914e-08,-1.99996,-2.12932e-08,-2.00015,585.285,-1170.66,-3.36417e-08,-1.26626,1460.64,-1849.55
8800000000,-2.02855e-08,-2.14455,-2.02874e-08,-2.14476,523.009,-1121.73,-3.22037e-08,-1.44588,1231.5,-1780.61
8850000000,-1.93335e-08,-2.28871,-1.93354e-08,-2.28896,469.718,-1075.17,-3.05754e-08,-1.62509,1046.21,-1700.18
8900000000,-1.84379e-08,-2.43244,-1.84398e-08,-2.43273,423.871,-1031.16,-2.89064e-08,-1.80385,896.113,-1616.45
8950000000,-1.75986e-08,-2.57572,-1.76005e-08,-2.57604,384.216,-989.756,-2.72781e-08,-1.98215,773.892,-1533.97
9000000000,-1.68136e-08,-2.71853,-1.68156e-08,-2.7189,349.737,-950.9,-2.5732e-08,-2.15997,673.671,-1455.11
9050000000,-1.60803e-08,-2.86087,-1.60823e-08,-2.86128,319.607,-914.485,-2.42861e-08,-2.33729,590.845,-1380.98
9100000000,-1.53953e-08,-3.00272,-1.53974e-08,-3.00317,293.149,-880.377,-2.29455e-08,-2.51408,521.844,-1311.96
9150000000,-1.47555e-08,-3.14406,-1.47575e-08,-3.14456,269.808,-848.428,-2.17085e-08,-2.69033,463.899,-1248.04
9200000000,-1.41573e-08,-3.28488,-1.41594e-08,-3.28543,249.127,-818.488,-2.05693e-08,-2.86602,414.867,-1189.02
9250000000,-1.35976e-08,-3.42517,-1.35998e-08,-3.42577,230.725,-790.41,-1.9521e-08,-3.04112,373.07,-1134.55
9300000000,-1.30734e-08,-3.56491,-1.30756e-08,-3.56556,214.287,-764.053,-1.85559e-08,-3.21561,337.196,-1084.29
9350000000,-1.25819e-08,-3.70408,-1.25841e-08,-3.70478,199.549,-739.285,-1.76666e-08,-3.38948,306.204,-1037.87
9400000000,-1.21204e-08,-3.84269,-1.21226e-08,-3.84345,186.287,-715.983,-1.68458e-08,-3.56268,279.269,-994.946
9450000000,-1.16865e-08,-3.98067,-1.16888e-08,-3.98149,174.315,-694.034,-1.60871e-08,-3.73521,255.725,-955.187
9500000000,-1.12782e-08,-4.11806,-1.12805e-08,-4.11894,163.473,-673.333,-1.53844e-08,-3.90703,235.037,-918.297
9550000000,-1.08933e-08,-4.25482,-1.08956e-08,-4.25576,153.624,-653.786,-1.47324e-08,-4.0781,216.769,-884.008
9600000000,-1.05301e-08,-4.39091,-1.05325e-08,-4.39192,144.653,-635.303,-1.41262e-08,-4.24841,200.563,-852.075
9650000000,-1.0187e-08,-4.52633,-1.01893e-08,-4.5274,136.459,-617.807,-1.35617e-08,-4.41792,186.124,-822.282
9700000000,-9.86233e-09,-4.66106,-9.86471e-09,-4.66221,128.957,-601.223,-1.30348e-08,-4.58658,173.208,-794.433
9750000000,-9.55484e-09,-4.79509,-9.55724e-09,-4.7963,122.07,-585.486,-1.25423e-08,-4.75438,161.61,-768.353
9800000000,-9.26326e-09,-4.92836,-9.26567e-09,-4.92964,115.736,-570.536,-1.2081e-08,-4.92127,151.158,-743.889
9850000000,-8.98643e-09,-5.06089,-8.98887e-09,-5.06225,109.895,-556.315,-1.16482e-08,-5.08721,141.708,-720.899
9900000000,-8.72334e-09,-5.19262,-8.7258e-09,-5.19406,104.499,-542.775,-1.12415e-08,-5.25216,133.138,-699.259
9950000000,-8.47303e-09,-5.32355,-8.4755e-09,-5.32507,99.5045,-529.869,-1.08587e-08,-5.41607,125.341,-678.858
1e+10,-8.23463e-09,-5.45366,-8.23712e-09,-5.45526,94.8724,-517.553,-1.04978e-08,-5.57891,118.23,-659.595
1.005e+10,-8.00735e-09,-5.58289,-8.00986e-09,-5.58458,90.5692,-505.791,-1.01571e-08,-5.74062,111.726,-641.379
1.01e+10,-7.79046e-09,-5.71124,-7.79298e-09,-5.71301,86.5646,-494.544,-9.83498e-09,-5.90115,105.764,-624.129
1.015e+10,-7.58329e-09,-5.83868,-7.58584e-09,-5.84054,82.8316,-483.782,-9.53004e-09,-6.06047,100.285,-607.772
1.02e+10,-7.38524e-09,-5.96517,-7.38779e-09,-5.96712,79.3469,-473.473,-9.24099e-09,-6.21852,95.2383,-592.241
1.025e+10,-7.19573e-09,-6.0907,-7.1983e-09,-6.09274,76.0888,-463.59,-8.96664e-09,-6.37524,90.5809,-577.476
1.03e+10,-7.01424e-09,-6.21523,-7.01683e-09,-6.21736,73.0385,-454.107,-8.70595e-09,-6.53059,86.2742,-563.421
1.035e+10,-6.8403e-09,-6.33872,-6.8429e-09,-6.34096,70.1787,-445,-8.45795e-09,-6.68451,82.2841,-550.029
1.04e+10,-6.67345e-09,-6.46116,-6.67607e-09,-6.46349,67.4942,-436.248,-8.22176e-09,-6.83695,78.5806,-537.252
1.045e+10,-6.51329e-09,-6.58253,-6.51592e-09,-6.58496,64.9709,-427.831,-7.99658e-09,-6.98786,75.1374,-525.05
1.05e+10,-6.35945e-09,-6.70278,-6.36209e-09,-6.70531,62.5965,-419.729,-7.78169e-09,-7.13718,71.9311,-513.385
